---,EnglishText,ChineseText,Type,Day
0,"Instigator","触发者","gas","4月14日"
1,"Received","已接收","gas","4月14日"
2,"Async Task","异步任务","gas","4月14日"
3,"Async","异步","gas","4月14日"
4,"Magnitude","幅度","gas","4月14日"
5,"Duration","持续时间","gas","4月14日"
6,"Instant","瞬间的","gas","4月14日"
7,"Infinite","无限的","gas","4月14日"
8,"Has Duration","拥有持续时间","gas","4月14日"
9,"Radius","半径","gas","4月14日"
10,"Segments","分段","gas","4月14日"
11,"Line Color","线条颜色","gas","4月14日"
12,"Thickness","线条粗细","gas","4月14日"
13,"repeat","重复","gas","4月14日"
14,"Authority","权威","","4月15日"
